time (s)	det(V)
5376.285540	0.052816	
5376.289539	0.053712	
5376.291539	0.046318	
5376.293540	0.048289	
5376.297540	0.048315	
5376.299540	0.052150	
5376.301540	0.049540	
5376.303540	0.046179	
5376.305539	0.046123	
5376.307540	0.043299	
5376.309539	0.040541	
5376.313539	0.043418	
5376.315540	0.042228	
5376.317540	0.043791	
5376.319543	0.040005	
5376.321540	0.041716	
5376.323539	0.038069	
5376.325540	0.044035	
5376.327539	0.039430	
5376.329542	0.036590	
5376.331539	0.034720	
5376.335539	0.030224	
5376.337541	0.034813	
5376.339540	0.033971	
5376.341540	0.035753	
5376.343539	0.032931	
5376.345540	0.037498	
5376.347540	0.035069	
5376.351539	0.029178	
5376.353539	0.022986	
5376.357540	0.023843	
5376.359542	0.032946	
5376.361540	0.033065	
5376.363540	0.026704	
5376.365542	0.029478	
5376.369539	0.027639	
5376.371539	0.015708	
5376.373540	0.014176	
5376.377540	0.019489	
5376.379540	0.025857	
5376.381540	0.026226	
5376.383539	0.018801	
5376.385540	0.020100	
5376.387540	0.016563	
5376.391539	0.012450	
5376.395540	0.011374	
5376.397540	0.019868	
5376.399539	0.016243	
5376.401539	0.014355	
5376.403539	0.009879	
5376.407539	0.012525	
5376.409540	0.006108	
5376.411540	0.008996	
5376.415540	0.007526	
5376.417539	0.008938	
5376.419540	0.007080	
5376.421539	0.004832	
5376.423539	0.004339	
5376.425540	0.009288	
5376.429540	0.002056	
5376.433540	0.001861	
5376.435539	0.006020	
5376.437540	-0.001787	
5376.439541	0.000170	
5376.441539	0.003672	
5376.445539	0.002509	
5376.447540	-0.000850	
5376.449540	-0.005966	
5376.453543	-0.005471	
5376.455540	-0.005355	
5376.457540	-0.003059	
5376.459540	-0.003419	
5376.461540	-0.001421	
5376.463540	-0.003692	
5376.467540	-0.010069	
5376.471540	-0.016076	
5376.473540	-0.010581	
5376.475540	-0.006955	
5376.477540	-0.008557	
5376.479540	-0.005027	
5376.483539	-0.007171	
5376.485539	-0.016423	
5376.487539	-0.022092	
5376.491540	-0.021372	
5376.493540	-0.011436	
5376.495540	-0.013401	
5376.497540	-0.014353	
5376.499540	-0.014966	
5376.501539	-0.016239	
5376.505540	-0.026080	
5376.509540	-0.025992	
5376.511540	-0.017449	
5376.513540	-0.018891	
5376.515540	-0.018841	
5376.517539	-0.023138	
5376.521539	-0.023245	
5376.523539	-0.035041	
5376.525540	-0.029502	
5376.529540	-0.029267	
5376.531540	-0.021304	
5376.533540	-0.027617	
5376.535539	-0.028919	
5376.537540	-0.031566	
5376.539540	-0.031835	
5376.543539	-0.033887	
5376.547540	-0.034224	
5376.549540	-0.031646	
5376.551541	-0.031861	
5376.553540	-0.037472	
5376.555540	-0.036789	
5376.559539	-0.037624	
5376.561540	-0.041361	
5376.563540	-0.040930	
5376.565540	-0.040706	
5376.567541	-0.041827	
5376.569540	-0.041400	
5376.571540	-0.042554	
5376.573541	-0.044791	
5376.575539	-0.044369	
5376.579539	-0.041533	
5376.581540	-0.047702	
5376.583540	-0.051510	
5376.585540	-0.051324	
5376.587541	-0.048633	
5376.589540	-0.048809	
5376.591540	-0.047714	
5376.593539	-0.047215	
5376.595540	-0.044995	
5376.599539	-0.048223	
5376.601540	-0.056896	
5376.605540	-0.059468	
5376.607540	-0.052904	
5376.609539	-0.050749	
5376.611540	-0.051237	
5376.613539	-0.049243	
5376.617539	-0.051503	
5376.619540	-0.061891	
5376.621540	-0.062589	
5376.625540	-0.062218	
5376.627541	-0.052469	
5376.629539	-0.054319	
5376.631540	-0.052045	
5376.633539	-0.057501	
5376.635541	-0.058569	
5376.639539	-0.061626	
5376.643540	-0.059255	
5376.645540	-0.051987	
5376.647542	-0.052328	
5376.649540	-0.054227	
5376.651540	-0.052928	
5376.655539	-0.055611	
5376.657540	-0.056481	
5376.659539	-0.056456	
5376.661540	-0.052888	
5376.663542	-0.049191	
5376.665541	-0.043719	
5376.667540	-0.046186	
5376.669541	-0.048561	
5376.671540	-0.048367	
5376.675539	-0.047945	
5376.677539	-0.043501	
5376.679540	-0.041278	
5376.681541	-0.039120	
5376.683540	-0.038025	
5376.685540	-0.030650	
5376.687541	-0.031381	
5376.689540	-0.026487	
5376.691539	-0.019686	
5376.695539	-0.020897	
5376.699539	-0.012680	
5376.701540	-0.002781	
5376.703540	0.003939	
5376.705540	0.008034	
5376.707539	0.014595	
5376.709540	0.023345	
5376.713539	0.031866	
5376.715541	0.039024	
5376.717539	0.043659	
5376.721540	0.052454	
5376.723540	0.075386	
5376.725539	0.090204	
5376.727541	0.099421	
5376.729545	0.113721	
5376.731541	0.124183	
5376.735540	0.128547	
5376.739541	0.154542	
5376.741540	0.196685	
5376.743540	0.212909	
5376.745539	0.230458	
5376.747539	0.250601	
5376.751539	0.270710	
5376.753539	0.306833	
5376.755540	0.330282	
5376.757540	0.357950	
5376.759540	0.390019	
5376.761540	0.424121	
5376.763540	0.450592	
5376.765539	0.482795	
5376.767539	0.515113	
5376.771539	0.549361	
5376.773539	0.621826	
5376.775539	0.666720	
5376.777540	0.712795	
5376.779540	0.762687	
5376.781539	0.813015	
5376.783540	0.858086	
5376.785540	0.912241	
5376.787540	0.967928	
5376.791540	1.023174	
5376.795539	1.150668	
5376.797540	1.285234	
5376.799540	1.359998	
5376.801539	1.438457	
5376.803540	1.519967	
5376.805540	1.589156	
5376.809539	1.596785	
5376.811540	1.597196	
5376.813540	1.597144	
5376.817540	1.597203	
5376.819539	1.597130	
5376.821539	1.597109	
5376.823541	1.597170	
5376.825539	1.597191	
5376.827540	1.597208	
5376.831539	1.597204	
5376.835540	1.597241	
5376.837540	1.597183	
5376.839540	1.597201	
5376.841539	1.597120	
5376.843539	1.597166	
5376.847539	1.597141	
5376.849539	1.597142	
5376.851540	1.597153	
5376.853540	1.597180	
5376.855543	1.597139	
5376.857540	1.597107	
5376.859540	1.597093	
5376.861543	1.597052	
5376.863539	1.597096	
5376.867539	1.597127	
5376.869539	1.597145	
5376.871539	1.597146	
5376.873540	1.597151	
5376.875540	1.597157	
5376.877540	1.597088	
5376.879539	1.597185	
5376.881539	1.597188	
5376.883540	1.597151	
5376.885539	1.597241	
5376.889540	1.597196	
5376.893540	1.597214	
5376.895540	1.597221	
5376.897540	1.597146	
5376.899540	1.597192	
5376.901540	1.597179	
5376.905539	1.597171	
5376.907540	1.597259	
5376.909539	1.597203	
5376.911540	1.597279	
5376.915539	1.597207	
5376.917541	1.597153	
5376.919540	1.597208	
5376.921540	1.597178	
5376.923539	1.597210	
5376.927540	1.597177	
5376.931540	1.597232	
5376.933539	1.597124	
5376.935540	1.597134	
5376.937540	1.597180	
5376.939540	1.597185	
5376.943539	1.597201	
5376.945540	1.597263	
5376.947540	1.597223	
5376.949540	1.597205	
5376.951541	1.597246	
5376.953541	1.597197	
5376.955539	1.597151	
5376.957540	1.597126	
5376.959540	1.593937	
5376.963539	1.501678	
5376.965540	1.212217	
5376.967540	1.071087	
5376.969540	0.922943	
5376.971540	0.783393	
