crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-95.410561	5719	0.000000
281474976710655.000000	-56.064659	5720	0.000000
281474976710655.000000	-44.847942	5721	0.000000
281474976710655.000000	-86.902138	5722	0.000000
281474976710655.000000	-63.914513	5723	0.000000
281474976710655.000000	-53.401684	5724	0.000000
281474976710655.000000	-58.477001	5725	0.000000
281474976710655.000000	-39.634594	5726	0.000000
281474976710655.000000	-46.606636	5727	0.000000
281474976710655.000000	-58.360836	5728	0.000000
281474976710655.000000	-38.835896	5729	0.000000
281474976710655.000000	-39.190880	5730	0.000000
281474976710655.000000	-57.785660	5731	0.000000
281474976710655.000000	-57.507740	5732	0.000000
281474976710655.000000	-93.878586	5733	0.000000
281474976710655.000000	-62.841782	5734	0.000000
281474976710655.000000	-44.540314	5735	0.000000
281474976710655.000000	-47.364098	5736	0.000000
281474976710655.000000	-58.177631	5737	0.000000
281474976710655.000000	-76.585831	5738	0.000000
281474976710655.000000	-58.383595	5739	0.000000
281474976710655.000000	-43.697689	5740	0.000000
281474976710655.000000	-57.007725	5741	0.000000
281474976710655.000000	-58.181763	5742	0.000000
281474976710655.000000	-92.959030	5743	0.000000
281474976710655.000000	-54.965343	5744	0.000000
281474976710655.000000	-87.856590	5745	0.000000
281474976710655.000000	-62.144520	5746	0.000000
281474976710655.000000	-57.545952	5747	0.000000
281474976710655.000000	-56.980347	5748	0.000000
281474976710655.000000	-56.874607	5749	0.000000
281474976710655.000000	-56.188480	5750	0.000000
281474976710655.000000	-54.273663	5751	0.000000
281474976710655.000000	-57.554192	5752	0.000000
281474976710655.000000	-28.198256	5753	0.000000
281474976710655.000000	-57.201313	5754	0.000000
281474976710655.000000	-56.485107	5755	0.000000
281474976710655.000000	-43.811993	5756	0.000000
281474976710655.000000	-54.742905	5757	0.000000
281474976710655.000000	-83.912315	5758	0.000000
281474976710655.000000	-63.069496	5759	0.000000
281474976710655.000000	-54.557247	5760	0.000000
281474976710655.000000	-62.670345	5761	0.000000
281474976710655.000000	-37.011162	5762	0.000000
281474976710655.000000	-55.449696	5763	0.000000
281474976710655.000000	-53.459583	5764	0.000000
281474976710655.000000	-55.347679	5765	0.000000
281474976710655.000000	-53.960171	5766	0.000000
281474976710655.000000	-55.293095	5767	0.000000
281474976710655.000000	-55.392185	5768	0.000000
281474976710655.000000	-37.957565	5769	0.000000
